黹	<div class=tone3>zhǐ</div>	embroidery, needlework	204		[sound:黹_google_zh-cn.mp3]	<img src="黹_img_ancient.svg">
黽	<div class=tone3>mǐn</div>	frog, amphibian	205	黾	[sound:黽_google_zh-cn.mp3]	<img src="黽_img_ancient.svg">
鼎	<div class=tone3>dǐng</div>	tripod	206		[sound:鼎_google_zh-cn.mp3]	<img src="鼎_img_ancient.svg">
鼓	<div class=tone3>gǔ</div>	drum	207	鼔	[sound:鼓_google_zh-cn.mp3]	<img src="鼓_img_ancient.svg">
鼠	<div class=tone3>shǔ</div>	rat, mouse	208	鼡	[sound:鼠_google_zh-cn.mp3]	<img src="鼠_img_ancient.svg">
鼻	<div class=tone2>bí</div>	nose	209		[sound:鼻_google_zh-cn.mp3]	<img src="鼻_img_ancient.svg">
斉	<div class=tone2>qí</div>	even, uniformly	210	齊, 齐	[sound:斉_google_zh-cn.mp3]	<img src="斉_img_ancient.svg">
歯	<div class=tone3>chǐ</div>	tooth, molar	211	齒, 齿	[sound:歯_google_zh-cn.mp3]	<img src="歯_img_ancient.svg">
龍	<div class=tone2>lóng</div>	dragon	212	龙	[sound:龍_google_zh-cn.mp3]	<img src="龍_img_ancient.svg">
亀	<div class=tone1>gūi</div>	turtle, tortoise	213	龜, 龟	[sound:亀_google_zh-cn.mp3]	
龠	<div class=tone4>yuè</div>	flute	214		[sound:龠_google_zh-cn.mp3]	
